workerid	tracked	image	question	response	expected_response	slide_number	id
0	[]	CLEVR_train_000010.png	How many things are rubber balls or big red shiny things?	3	2	4	104
0	[]	CLEVR_train_000025.png	How many metallic objects are either blocks or small blue balls?	1	1	5	250
0	[]	CLEVR_train_000016.png	What number of rubber objects are tiny things or cyan cylinders?	3	1	6	163
0	[[273.698486328125, 272.375]]	CLEVR_train_000007.png	Is there any other thing that is the same size as the rubber cube?	2	yes	7	74
0	[[263.050048828125, 270.69366455078125]]	CLEVR_train_000018.png	Is the size of the shiny cylinder the same as the thing behind the cube?	no	yes	8	184
0	[[257.4455871582031, 275.7376708984375]]	CLEVR_train_000009.png	Is there any other thing that is the same shape as the large gray object?	yes	no	9	93
0	[[269.2149353027344, 276.298095703125]]	CLEVR_train_000023.png	Is the number of cubes greater than the number of small blue metallic blocks?	no	yes	10	230
0	[[264.73138427734375, 275.1772155761719]]	CLEVR_train_000015.png	What is the material of the brown cylinder that is the same size as the block?	rubber	rubber	11	150
0	[[212.049560546875, 270.69366455078125], [266.4127197265625, 272.375]]	CLEVR_train_000030.png	Do the small metal thing and the small yellow matte thing have the same shape?	yes	yes	12	302
0	[[233.34646606445312, 269.5727844238281], [149.84017944335938, 263.96832275390625], [149.84017944335938, 263.96832275390625], [165.5326385498047, 266.7705383300781], [165.5326385498047, 266.7705383300781], [165.5326385498047, 266.7705383300781], [165.5326385498047, 266.7705383300781], [165.5326385498047, 266.7705383300781], [186.8295440673828, 82.94463348388672], [186.8295440673828, 82.94463348388672], [159.92819213867188, 272.375], [159.92819213867188, 272.375], [187.950439453125, 97.51619720458984], [191.87355041503906, 105.9228744506836], [251.84115600585938, 200.63804626464844], [264.73138427734375, 272.375]]	CLEVR_train_000008.png	The green thing that is the same material as the small brown ball is what shape?	cylinder	cube	13	84
0	[[195.79666137695312, 273.4958801269531], [270.3358154296875, 271.8145446777344]]	CLEVR_train_000012.png	Are there any other things that have the same size as the cyan metallic cylinder?	no	no	14	121
0	[[199.15933227539062, 272.9354248046875], [270.8962707519531, 271.8145446777344]]	CLEVR_train_000003.png	Are there any large cyan spheres made of the same material as the large green sphere?	yes	no	15	33
0	[[219.8957977294922, 269.5727844238281], [270.3358154296875, 267.33099365234375]]	CLEVR_train_000013.png	There is a rubber cylinder that is behind the tiny blue matte block; what color is it?	green	gray	16	130
0	[[202.52200317382812, 275.1772155761719], [267.5335998535156, 271.2541198730469]]	CLEVR_train_000026.png	How many things are both to the right of the cylinder and on the left side of the tiny shiny ball?	3	2	17	264
0	[[203.6428985595703, 274.61676025390625]]	CLEVR_train_000027.png	There is a purple matte object that is the same shape as the large brown object; what is its size?	small	small	18	271
0	[[225.500244140625, 265.649658203125]]	CLEVR_train_000028.png	What is the size of the other cyan object that is the same shape as the large cyan metallic object?	small	small	19	282
0	[[219.33534240722656, 269.5727844238281]]	CLEVR_train_000000.png	What material is the big object that is right of the brown cylinder and left of the large brown sphere?	rubber	rubber	20	3
0	[[226.06068420410156, 269.5727844238281]]	CLEVR_train_000006.png	There is a big metallic object behind the shiny object in front of the shiny object that is left of the cyan thing; what is its shape?	cube	sphere	21	63
0	[[209.24734497070312, 270.69366455078125]]	CLEVR_train_000014.png	Does the green sphere that is behind the small shiny thing have the same material as the tiny object that is in front of the small green shiny ball?	no	yes	22	143
0	[[195.79666137695312, 269.5727844238281], [195.79666137695312, 269.5727844238281], [270.3358154296875, 272.9354248046875], [270.3358154296875, 272.9354248046875], [460, 150], [460, 150], [468, 149], [468, 149], [523, 190], [523, 190], [510, 247], [510, 247], [602, 289], [602, 289], [601, 289], [601, 289], [519, 379], [519, 379], [518, 395], [518, 395], [529, 463], [529, 463], [541, 398], [541, 398], [836, 437], [836, 437], [528, 591], [528, 591]]	CLEVR_train_000011.png	Is the number of large metal cylinders that are left of the tiny cyan block the same as the number of purple matte objects that are in front of the brown rubber cylinder?	yes	yes	23	114
1	[]	CLEVR_train_000027.png	What is the red block made of?	metal	rubber	4	270
1	[]	CLEVR_train_000020.png	What is the small gray ball made of?	plastic	rubber	5	202
1	[]	CLEVR_train_000024.png	What is the size of the blue metallic cube?	small	small	6	242
1	[]	CLEVR_train_000021.png	Is there a object of the same color as the sphere?	yes	yes	7	212
1	[]	CLEVR_train_000031.png	How many matte things are the same color as the ball?	zero	1	8	314
1	[]	CLEVR_train_000017.png	Is there anything else of the same color as the big cylinder?	ye	no	9	172
1	[[80.34502410888672, 103.12065124511719], [177.8624267578125, 71.7357406616211], [221.57713317871094, 105.3624267578125], [222.69801330566406, 105.3624267578125], [209.24734497070312, 269.0123291015625]]	CLEVR_train_000004.png	Is there another tiny sphere that has the same color as the ball?	no	no	10	42
1	[[125.18061065673828, 169.25314331054688], [124.05972290039062, 169.25314331054688], [323.5780944824219, 117.69221496582031], [329.1825256347656, 116.57132720947266], [241.75314331054688, 119.93399810791016], [241.75314331054688, 109.84598541259766], [241.75314331054688, 107.60420989990234], [241.75314331054688, 106.48331451416016], [241.75314331054688, 103.12065124511719], [240.6322479248047, 101.999755859375], [239.51136779785156, 100.87886810302734], [238.39047241210938, 98.63709259033203], [232.78602600097656, 93.03263854980469], [231.66513061523438, 93.03263854980469], [228.30245971679688, 96.39530944824219], [222.69801330566406, 101.999755859375], [222.69801330566406, 109.84598541259766], [224.93978881835938, 117.69221496582031], [229.42335510253906, 130.02200317382812], [236.14869689941406, 144.59356689453125], [251.84115600585938, 168.1322479248047], [257.4455871582031, 175.97848510742188], [259.6873779296875, 178.2202606201172], [260.8082580566406, 178.2202606201172], [267.5335998535156, 174.8575897216797], [272.01715087890625, 171.4949188232422], [276.500732421875, 164.7695770263672], [280.9842834472656, 156.92335510253906], [288.83050537109375, 123.29666137695312], [285.46783447265625, 107.60420989990234], [278.74249267578125, 93.03263854980469], [273.1380615234375, 85.18641662597656], [264.1709289550781, 80.7028579711914], [259.6873779296875, 82.94463348388672], [254.0829315185547, 89.66997528076172], [248.47848510742188, 99.75798034667969], [248.47848510742188, 133.38467407226562], [251.84115600585938, 145.71446228027344], [257.4455871582031, 150.19801330566406], [260.8082580566406, 150.19801330566406], [265.2918395996094, 95.27442169189453], [243.9949188232422, 65.0103988647461], [222.69801330566406, 44.83438491821289], [211.48912048339844, 41.47171401977539], [192.43399047851562, 112.0877685546875], [194.67578125, 143.47267150878906], [200.2802276611328, 149.07713317871094], [208.12644958496094, 140.11001586914062], [203.6428985595703, 60.52684020996094], [190.1922149658203, 45.95527267456055], [184.5877685546875, 58.28506088256836], [184.5877685546875, 134.50555419921875], [199.15933227539062, 227.53941345214844], [194.67578125, 193.9127197265625], [180.1042022705078, 143.47267150878906], [153.20285034179688, 101.999755859375], [113.97171783447266, 152.43978881835938], [88.19125366210938, 228.66029357910156], [92.67481231689453, 227.53941345214844], [130.78506469726562, 103.12065124511719], [115.09260559082031, 75.09840393066406], [109.4881591796875, 188.3082733154297], [121.81793975830078, 199.5171661376953], [141.99395751953125, 88.54907989501953], [60.169010162353516, 100.87886810302734], [65.7734603881836, 186.0664825439453], [102.7628173828125, 137.86822509765625], [102.7628173828125, 53.8015022277832], [105.00460052490234, 151.31890869140625], [134.14773559570312, 108.72509765625], [112.85082244873047, 33.62548828125], [82.58679962158203, 86.30730438232422], [129.66416931152344, 104.24153900146484], [121.81793975830078, 54.92238998413086], [122.93883514404297, 110.96687316894531], [221.57713317871094, 143.47267150878906], [219.33534240722656, 48.197052001953125], [193.5548858642578, 187.1873779296875], [264.1709289550781, 138.98912048339844], [288.83050537109375, 61.647727966308594], [247.3575897216797, 189.4291534423828], [283.22607421875, 95.27442169189453], [267.5335998535156, 81.82374572753906], [246.2366943359375, 105.3624267578125]]	CLEVR_train_000003.png	What number of purple objects are the same shape as the gray thing?	zero	0	11	31
1	[[143.11485290527344, 60.52684020996094], [146.47752380371094, 62.768619537353516], [148.71929931640625, 66.13128662109375], [152.08197021484375, 70.6148452758789], [155.44464111328125, 76.21929931640625], [158.8072967529297, 82.94463348388672], [161.04908752441406, 89.66997528076172], [162.1699676513672, 94.15353393554688], [164.41175842285156, 97.51619720458984], [165.5326385498047, 98.63709259033203], [165.5326385498047, 96.39530944824219], [167.7744140625, 89.66997528076172], [168.8953094482422, 84.06552124023438], [168.8953094482422, 76.21929931640625], [170.01620483398438, 66.13128662109375], [170.01620483398438, 60.52684020996094], [170.01620483398438, 53.8015022277832], [168.8953094482422, 49.31794357299805], [168.8953094482422, 41.47171401977539], [166.65353393554688, 42.59260559082031], [165.5326385498047, 43.71349334716797], [163.29086303710938, 47.07616424560547], [203.6428985595703, 276.8585510253906]]	CLEVR_train_000018.png	Is the size of the shiny cylinder the same as the thing behind the cube?	no	yes	12	184
1	[[310.1274108886719, 95.27442169189453], [309.00653076171875, 97.51619720458984], [305.64385986328125, 103.12065124511719], [302.28118896484375, 109.84598541259766], [297.7976379394531, 117.69221496582031], [293.3140563964844, 126.65933227539062], [287.7096252441406, 134.50555419921875], [283.22607421875, 142.35179138183594], [279.8634033203125, 146.83534240722656], [275.37982177734375, 152.43978881835938], [273.1380615234375, 155.80245971679688], [272.01715087890625, 160.28602600097656], [269.775390625, 163.64869689941406], [268.65447998046875, 165.89047241210938], [267.5335998535156, 169.25314331054688], [266.4127197265625, 171.4949188232422], [266.4127197265625, 172.61581420898438], [266.4127197265625, 171.4949188232422], [269.775390625, 169.25314331054688], [274.2589416503906, 163.64869689941406], [278.74249267578125, 156.92335510253906], [284.3469543457031, 147.95623779296875], [291.0722961425781, 137.86822509765625], [295.55584716796875, 127.78022003173828], [297.7976379394531, 119.93399810791016], [300.0393981933594, 112.0877685546875], [301.1603088378906, 104.24153900146484], [301.1603088378906, 96.39530944824219], [302.28118896484375, 91.91175079345703], [302.28118896484375, 90.79086303710938], [301.1603088378906, 90.79086303710938], [300.0393981933594, 91.91175079345703], [296.6767272949219, 95.27442169189453], [293.3140563964844, 98.63709259033203], [292.19317626953125, 99.75798034667969], [221.57713317871094, 66.13128662109375], [220.45623779296875, 66.13128662109375], [217.09356689453125, 69.49395751953125], [208.12644958496094, 73.9775161743164], [191.3131103515625, 87.42819213867188], [183.4668731689453, 93.03263854980469], [181.22509765625, 95.27442169189453], [182.3459930419922, 95.27442169189453], [183.4668731689453, 94.15353393554688], [194.67578125, 84.06552124023438], [213.73089599609375, 75.09840393066406], [230.54425048828125, 68.3730697631836], [241.75314331054688, 63.88950729370117], [242.87403869628906, 63.88950729370117], [242.87403869628906, 65.0103988647461], [240.6322479248047, 66.13128662109375], [237.2695770263672, 69.49395751953125], [233.9069061279297, 71.7357406616211], [228.30245971679688, 72.85662841796875], [220.45623779296875, 76.21929931640625], [215.97267150878906, 78.46107482910156], [214.85179138183594, 78.46107482910156], [211.48912048339844, 79.58196258544922], [199.15933227539062, 84.06552124023438], [184.5877685546875, 90.79086303710938], [170.01620483398438, 98.63709259033203], [164.41175842285156, 101.999755859375], [155.44464111328125, 107.60420989990234], [140.87306213378906, 113.20865631103516], [127.42239379882812, 115.450439453125], [110.60904693603516, 115.450439453125], [91.55392456054688, 115.450439453125], [70.25701904296875, 116.57132720947266], [55.68545150756836, 119.93399810791016], [47.8392219543457, 122.17577362060547], [42.23477554321289, 123.29666137695312], [39.99299621582031, 124.41755676269531], [38.87210464477539, 125.53844451904297], [39.99299621582031, 125.53844451904297], [41.11388397216797, 124.41755676269531], [42.23477554321289, 123.29666137695312], [42.23477554321289, 125.53844451904297], [43.35566329956055, 131.1428985595703], [52.32278060913086, 149.07713317871094], [64.6525650024414, 159.16513061523438], [76.98235321044922, 144.59356689453125], [90.43302917480469, 99.75798034667969], [92.67481231689453, 82.94463348388672], [96.03748321533203, 90.79086303710938], [121.81793975830078, 155.80245971679688], [152.08197021484375, 198.39627075195312], [170.01620483398438, 219.69317626953125], [192.43399047851562, 234.26473999023438], [195.79666137695312, 235.38563537597656], [199.15933227539062, 230.90206909179688], [198.03843688964844, 227.53941345214844], [198.03843688964844, 226.41851806640625], [195.79666137695312, 221.93495178222656], [177.8624267578125, 199.5171661376953], [172.2579803466797, 193.9127197265625], [171.1370849609375, 193.9127197265625], [171.1370849609375, 192.7918243408203], [171.1370849609375, 191.67092895507812], [170.01620483398438, 191.67092895507812], [221.57713317871094, 273.4958801269531]]	CLEVR_train_000012.png	How many other tiny metal objects have the same shape as the brown thing?	zero	0	13	123
1	[[215.97267150878906, 270.1332092285156]]	CLEVR_train_000015.png	What shape is the yellow object that is the same size as the rubber block?	sphere	sphere	14	151
1	[[218.21446228027344, 274.61676025390625]]	CLEVR_train_000023.png	Is the number of cubes greater than the number of small blue metallic blocks?	no	yes	15	230
1	[[218.21446228027344, 274.61676025390625]]	CLEVR_train_000016.png	Is the number of tiny gray shiny things greater than the number of metal things?	no	no	16	161
1	[[201.40110778808594, 32.50459671020508], [201.40110778808594, 33.62548828125], [200.2802276611328, 35.86726760864258], [200.2802276611328, 35.86726760864258], [200.2802276611328, 40.350826263427734], [200.2802276611328, 45.95527267456055], [200.2802276611328, 45.95527267456055], [200.2802276611328, 51.559722900390625], [201.40110778808594, 56.04328155517578], [203.6428985595703, 60.52684020996094], [203.6428985595703, 60.52684020996094], [205.88467407226562, 66.13128662109375], [207.00555419921875, 70.6148452758789], [207.00555419921875, 70.6148452758789], [209.24734497070312, 73.9775161743164], [212.61001586914062, 80.7028579711914], [217.09356689453125, 89.66997528076172], [217.09356689453125, 89.66997528076172], [220.45623779296875, 96.39530944824219], [223.81890869140625, 100.87886810302734], [223.81890869140625, 100.87886810302734], [228.30245971679688, 103.12065124511719], [229.42335510253906, 104.24153900146484], [230.54425048828125, 105.3624267578125], [230.54425048828125, 105.3624267578125], [231.66513061523438, 105.3624267578125], [232.78602600097656, 105.3624267578125], [232.78602600097656, 105.3624267578125], [233.9069061279297, 105.3624267578125], [236.14869689941406, 103.12065124511719], [239.51136779785156, 99.75798034667969], [239.51136779785156, 99.75798034667969], [241.75314331054688, 91.91175079345703], [243.9949188232422, 80.7028579711914], [243.9949188232422, 80.7028579711914], [243.9949188232422, 71.7357406616211], [241.75314331054688, 63.88950729370117], [241.75314331054688, 62.768619537353516], [241.75314331054688, 62.768619537353516], [241.75314331054688, 63.88950729370117], [241.75314331054688, 65.0103988647461], [241.75314331054688, 65.0103988647461], [242.87403869628906, 68.3730697631836], [243.9949188232422, 70.6148452758789], [242.87403869628906, 70.6148452758789], [242.87403869628906, 70.6148452758789], [241.75314331054688, 68.3730697631836], [230.54425048828125, 61.647727966308594], [230.54425048828125, 61.647727966308594], [214.85179138183594, 56.04328155517578], [201.40110778808594, 52.68061065673828], [199.15933227539062, 52.68061065673828], [199.15933227539062, 52.68061065673828], [196.9175567626953, 52.68061065673828], [193.5548858642578, 52.68061065673828], [193.5548858642578, 52.68061065673828], [191.3131103515625, 52.68061065673828], [190.1922149658203, 52.68061065673828], [186.8295440673828, 52.68061065673828], [186.8295440673828, 52.68061065673828], [182.3459930419922, 53.8015022277832], [174.499755859375, 61.647727966308594], [174.499755859375, 61.647727966308594], [170.01620483398438, 72.85662841796875], [170.01620483398438, 80.7028579711914], [171.1370849609375, 81.82374572753906], [171.1370849609375, 81.82374572753906], [172.2579803466797, 81.82374572753906], [177.8624267578125, 272.375], [177.8624267578125, 272.375]]	CLEVR_train_000019.png	There is a large object that is behind the small red cylinder; what is its material?	rubber	rubber	17	194
1	[[156.56552124023438, 124.41755676269531], [157.68641662597656, 124.41755676269531], [157.68641662597656, 124.41755676269531], [159.92819213867188, 126.65933227539062], [162.1699676513672, 131.1428985595703], [162.1699676513672, 131.1428985595703], [164.41175842285156, 137.86822509765625], [165.5326385498047, 143.47267150878906], [165.5326385498047, 143.47267150878906], [167.7744140625, 149.07713317871094], [168.8953094482422, 154.68157958984375], [168.8953094482422, 154.68157958984375], [170.01620483398438, 158.04425048828125], [171.1370849609375, 159.16513061523438], [171.1370849609375, 159.16513061523438], [171.1370849609375, 158.04425048828125], [171.1370849609375, 156.92335510253906], [171.1370849609375, 156.92335510253906], [171.1370849609375, 155.80245971679688], [171.1370849609375, 154.68157958984375], [171.1370849609375, 154.68157958984375], [229.42335510253906, 252.198974609375], [228.30245971679688, 253.3198699951172], [228.30245971679688, 253.3198699951172], [226.06068420410156, 254.44076538085938], [207.00555419921875, 270.1332092285156], [207.00555419921875, 270.1332092285156]]	CLEVR_train_000009.png	What is the material of the small cylinder that is the same color as the matte cube?	rubber	rubber	18	91
1	[[217.09356689453125, 271.2541198730469]]	CLEVR_train_000030.png	There is a red thing that is the same material as the big cyan block; what is its shape?	cylinder	cylinder	19	303
